x,y,Var1,Var2
7480.6,5784.0,-1.22544,-0.375
7309.6,6280.0,0.66597,-0.23068
7608.0,5770.5,-1.53835,0.91146
6198.3,6607.2,-0.7,1.20313
7214.3,5908.8,0.25,-0.59063
7611.0,6299.4,-1.01665,0.44361
7600.8,5746.2,-1.34408,0.5944
7594.0,6107.2,-1.60416,0.15524
7005.6,6391.4,0.76667,0.7
7428.0,6339.0,0.0,1.0675
7030.6,5834.8,0.80938,-0.03224
6413.5,6414.9,-1.36378,1.75
7039.6,5945.4,1.51667,-0.10096
7638.3,5822.4,-2.1338,1.29063
6907.4,6049.7,-1.87971,-0.19091
6520.4,6341.4,-0.525,-0.23864
7043.3,5821.1,0.725,-0.4125
7570.3,6364.6,-0.79363,1.24688
7292.7,6209.3,-0.525,1.3625
7304.7,6092.3,-1.22635,-0.3625
6187.1,6502.6,0.3125,0.525
6574.6,6367.5,-1.35804,0.42188
7685.0,6466.8,-1.96951,0.25515
7803.6,5899.7,-1.32833,0.0358
6841.6,6356.0,-0.7875,0.01591
6502.6,6198.8,-0.52396,-0.23864
6233.2,6516.3,0.35,0.46395
7178.3,5784.5,0.80938,-0.65625
7009.6,6583.2,0.80063,0.60345
7509.5,6043.1,1.92501,-0.3875
7515.4,6443.3,-0.07,0.825
6964.7,5918.7,0.77917,-0.23864
6766.6,6371.5,-1.03579,0.07557
8383.3,5897.8,-1.05837,-1.4
7062.4,6745.7,0.25,1.79375
6471.8,6807.7,-0.35,1.645
6645.5,6421.0,-1.96323,-0.16154
7165.1,6513.6,1.3375,0.19966
7506.3,6316.9,-0.2625,1.5925
7920.4,6510.7,-2.76866,-1.73405
6656.3,6588.3,0.1625,0.57931
7276.8,6027.9,-1.5891,-0.30625
7928.1,6078.7,-0.61903,-0.00921
6780.4,6618.9,0.05,1.21406
7412.2,6212.7,-1.03204,0.24487
7164.8,5640.5,0.2375,0.05568
7891.9,6272.8,-1.37852,0.57629
6865.0,6682.2,0.1875,1.12875
7216.3,6089.0,-3.22893,0.45174
7850.3,5937.6,-0.61693,0.9625
7722.4,6424.2,-1.252,0.8625
6974.3,6758.6,-0.10938,2.1875
6874.0,6850.6,0.1875,1.30156
6519.6,6525.2,-1.02709,1.4875
7263.7,6564.4,0.25,1.21406
6751.4,6768.3,-0.10938,1.1025
6906.0,6707.4,0.50909,0.98875
